,avg_commit_comment_sentiment,n_commit_comments,repo_name
0,1.1428571428571428,7,armbian/build
1,1.4,10,Soulofdestiny/os-autoinst-distri-opensuse
2,1.0,2,ilonazakharova/java_course
3,1.3333333333333333,9,RAIL-UGA/rail-uga-stellar
4,3.0,1,rathena/rathena
5,1.0,1,vcarulla/rails_practique
6,3.0,1,CasparCG/server
7,1.3333333333333333,3,colours/nhtv
8,3.0,1,uw-cmg/MAST-ML
9,1.0,1,SaltieRL/DistributedReplays
10,1.25,4,zerocracy/farm
11,1.0,1,agramfort/mne-python
12,2.0,1,MNKCrypto/ReentrantIssue
13,2.25,4,johncarl81/asciidoclet
14,2.125,8,Djuliuss/Remittance
15,2.0,1,Lilike2008/2008lilike
16,1.75,4,tracespace/tracespace
17,1.0,1,serverless/serverless
18,0.75,4,vovapasko/Crypto_fuignya
19,1.25,12,NREL/EnergyPlus
20,1.0,2,geneweb/geneweb
21,1.5,8,furqanbaqai/Remittance
22,2.0,1,kanaka/mal
23,1.6666666666666667,3,Theanvenger/Tryag-File-Manager-jpeg
24,1.0,5,carund/linux-1.sh
25,2.0,1,LaurentEsnault/Eno
26,1.2222222222222223,9,MageSlayer/paludis-gentoo-patches
27,,0,carund/linux-2.sh
28,1.4,10,CobaltWolf/Bluedog-Design-Bureau
29,1.0,1,vikvik98/ProjetoEventos
30,1.0,3,KevinOConnor/klipper
31,,0,carund/linux-3.sh
32,2.0,1,Michelle12369/ponpon
33,1.5,2,khanage/purescript-indexed-monad
34,2.0,1,TheAndroidMaster/Alarmio
35,1.0,4,erlware/relx
36,1.0,1,gtl90/person-management-app
37,2.0,1,jr719/test_demo
38,2.5,2,AbimaelAlcebiades/codecombat
39,2.0,2,tkntrec/EDCB
40,2.0,1,noon99jaki/pra
41,2.0,2,regel/chronograf
42,2.0,1,lcl520rt/xiahua
43,2.0,1,marc2k3/foo_jscript_panel
44,2.0,1,tolearnmuch/ff
45,1.0,1,Mailu/Mailu
46,3.0,1,TheAndroidMaster/Pasta-for-Spotify
47,1.75,4,jeremycline/fedora-messaging
48,,0,inbo/LSVI
49,2.0,1,openatv/MetrixHD
50,1.3333333333333333,3,besser82/libxcrypt
51,1.0,2,eu-evops/selenium-pom
52,2.0,1,akashkrazy/pan_score_calculation
53,1.5,2,opensourcerouting/frr
54,1.5,4,topjohnwu/MagiskManager
55,1.0,1,GooGooBusser/node-oidc-provider
56,1.75,16,MayadaSaleh/Problem-Solving-Practice
57,2.0,1,Lazerbeak12345/pixelmanipulator
58,3.0,1,x86cpu/android_kernel_lge_msm8996
59,2.0,1,doctrine/dbal
60,1.3333333333333333,3,mailwatch/mailwatch-install-script
61,0.5,2,akachronix/pubg-lagswitch
62,2.0,1,seonyu10/gallery
63,2.0,1,SonEunHo/ProgrammingStudy
64,1.4,5,avneet14027/Summer-2018
65,1.8,5,jboss-dockerfiles/keycloak
66,2.0,1,164y/assessment
67,1.0,2,FokinAlex/SpringSimpleApp
68,1.0,2,green-fox-academy/Norlandia
69,2.0,1,McAfeeInst2Org1/newrepo
70,1.0,2,archlinuxcn/repo
71,1.6,10,alpinelinux/aports
72,1.3333333333333333,3,ssw3r/pantheon-give-to-uva
73,3.0,1,Karlinator/roll20-character-sheets
74,1.3333333333333333,3,rbomhof/irc-d8-workflow
75,1.0,2,yunusem/pardus-store
76,3.0,1,DaynaMarie07/Project3-iou-app
77,1.0,6,CanonicalLtd/curtin
78,3.0,1,vishnuk7/Laravel-Blog
79,1.5454545454545454,11,aledjones/db-rest
80,2.0,1,IMintern/notAnExam
81,2.0,1,AlexLeka98/firstRepository
82,2.0,2,angular/angular-cli
83,2.0,1,buhaqiqat/buhaqiqat.github.io
84,1.1875,96,stinb/gitahead-test
85,1.0,4,mikhail-m1/rust
86,1.5,2,darrenloasby/docker-rpi-plex-video-converter
87,2.0,3,ivanayov/faas
88,2.0,1,DamianCwykiel/Portfolio
89,2.0,2,dimagi/commcare-hq
90,,0,rism-ch/verovio
91,1.0,1,mallidi/espnet
92,2.0,2,PyCQA/pylint
93,1.6666666666666667,6,toolboc/faithcoin
94,1.0,1,CleverRaven/Cataclysm-DDA
95,1.0,1,JeremySkinner/FluentValidation
96,1.5,2,SuperDroidBond/device_oneplus3
97,2.0,1,tommerbomb/funcadelic.js
